"","역명","total","X좌표.WGS.","Y좌표.WGS."
"1","강남",5800976,37.497175,127.027926
"2","잠실",5523881,37.51395,127.102234
"3","고속터미널",5113357,37.50481,127.004943
"4","홍대입구",4985492,37.557192,126.925381
"5","사당",3760880,37.47653,126.981685
"6","신림",3731352,37.484201,126.929715
"7","선릉",3443322,37.504503,127.049008
"8","구로디지털단지",3400584,37.485266,126.901401
"9","신도림",3342004,37.508725,126.891295
"10","건대입구",3315168,37.540693,127.07023
"11","삼성",3157585,37.508844,127.06316
"12","종로3가",3138100,37.571607,126.991806
"13","가산디지털단지",3034119,37.481072,126.882343
"14","수원",2746685,37.265974,126.999874
"15","서울대입구",2739682,37.481247,126.952739
"16","역삼",2738908,37.500622,127.036456
"17","영등포",2681936,37.515504,126.907628
"18","교대",2665572,37.493415,127.01408
"19","을지로입구",2642852,37.566014,126.982618
"20","신촌",2619271,37.555134,126.936893
"21","신촌",2619271,37.559783,126.942319
"22","합정",2604026,37.549463,126.913739
"23","시청",2550774,37.564718,126.977108
"24","강변",2464386,37.535095,127.094681
"25","노원",2460003,37.655128,127.061368
"26","종각",2382734,37.570161,126.982923
"27","청량리",2325678,37.580178,127.046835
"28","여의도",2281512,37.521624,126.924191
"29","동대문역사문화공원",2268951,37.565138,127.007896
"30","노량진",2231928,37.514219,126.942454
"31","용산",2221989,37.529849,126.964561
"32","혜화",2217645,37.582336,127.001844
"33","천호",2207125,37.538397,127.123572
"34","양재",2193218,37.484147,127.034631
"35","연신내",2186061,37.619001,126.921008
"36","대림",2171191,37.49297,126.895801
"37","부평",2121831,37.489493,126.724805
"38","부천",2121192,37.48405,126.782686
"39","왕십리",2113083,37.561533,127.037732
"40","동대문",2087122,37.57142,127.009745
